"","col","meanImp","medianImp","minImp","maxImp","normHits","decision"
"119","cat17",0.0528784232182429,-0.284140285046837,-1.93220463690411,1.7071438277607,0,"Rejected"
"120","cat24",0.0519429152884522,-0.217032406459397,-1.40128411753908,1.27824295667658,0,"Rejected"
"121","cat13",-0.0282305937578113,-0.00571470583258862,-2.10910330357005,1.70359448987984,0,"Rejected"
"122","cat22",-0.0497914755040686,-0.179492961203343,-1.04031351494428,1.38327604286964,0,"Rejected"
"123","cat23",-0.0992897234628469,0.185476755956733,-1.89556835170544,2.19869352054526,0,"Rejected"
"124","cat20",-0.193295352186347,-0.482200734564824,-1.41415825431089,1.79184036995172,0,"Rejected"
"125","cat18",-0.214645290766696,-0.196528365059445,-1.80456849935022,1.38842091216837,0,"Rejected"
"126","cat10",-0.266559784028761,-0.422543435207441,-1.67970271496079,1.47391987657277,0,"Rejected"
"127","cat19",-0.269526217499161,-0.110642824269379,-1.76043356696479,1.04142255507175,0,"Rejected"
"128","cat1",-0.273702881796922,-0.439726071281683,-2.3361122751044,1.25443584274799,0,"Rejected"
"129","cat16",-0.313044538442411,-0.697551528843357,-1.73599314240243,1.91148682298761,0,"Rejected"
"130","cat26",-0.339258482394577,-0.469406570167476,-2.10327809978658,2.00931706045031,0,"Rejected"
"131","cat9",-0.377056311470794,-0.238024249621122,-2.04546724017431,1.75351378336609,0,"Rejected"
"132","cat11",-0.606272715137815,-0.879568357357884,-1.99769358282685,1.59739505755759,0,"Rejected"
